Country Name,Country Code,Indicator Name,2010
Aruba,ABW,"Life expectancy at birth, total (years)",75.404
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",58.4111497501441
Afghanistan,AFG,"Life expectancy at birth, total (years)",60.851
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",54.550169165108
Angola,AGO,"Life expectancy at birth, total (years)",56.726
Albania,ALB,"Life expectancy at birth, total (years)",77.936
Andorra,AND,"Life expectancy at birth, total (years)",
Arab World,ARB,"Life expectancy at birth, total (years)",70.0412535714543
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",78.334
Argentina,ARG,"Life expectancy at birth, total (years)",75.721
Armenia,ARM,"Life expectancy at birth, total (years)",73.16
American Samoa,ASM,"Life expectancy at birth, total (years)",
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",76.82
Australia,AUS,"Life expectancy at birth, total (years)",81.6951219512195
Austria,AUT,"Life expectancy at birth, total (years)",80.5804878048781
Azerbaijan,AZE,"Life expectancy at birth, total (years)",69.529
Burundi,BDI,"Life expectancy at birth, total (years)",57.081
Belgium,BEL,"Life expectancy at birth, total (years)",80.1829268292683
Benin,BEN,"Life expectancy at birth, total (years)",58.363
Burkina Faso,BFA,"Life expectancy at birth, total (years)",56.477
Bangladesh,BGD,"Life expectancy at birth, total (years)",68.638
Bulgaria,BGR,"Life expectancy at birth, total (years)",73.5121951219512
Bahrain,BHR,"Life expectancy at birth, total (years)",78.748
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",72.731
Bosnia and Herzegovina,BIH,"Life expectancy at birth, total (years)",77.073
Belarus,BLR,"Life expectancy at birth, total (years)",70.4048780487805
Belize,BLZ,"Life expectancy at birth, total (years)",72.272
Bermuda,BMU,"Life expectancy at birth, total (years)",79.2885365853658
Bolivia,BOL,"Life expectancy at birth, total (years)",66.162
Brazil,BRA,"Life expectancy at birth, total (years)",73.182
Barbados,BRB,"Life expectancy at birth, total (years)",75.712
Brunei Darussalam,BRN,"Life expectancy at birth, total (years)",74.849
Bhutan,BTN,"Life expectancy at birth, total (years)",68.43
Botswana,BWA,"Life expectancy at birth, total (years)",60.013
Central African Republic,CAF,"Life expectancy at birth, total (years)",49.255
Canada,CAN,"Life expectancy at birth, total (years)",81.2463414634146
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",75.2939657786314
Switzerland,CHE,"Life expectancy at birth, total (years)",82.2463414634147
Channel Islands,CHI,"Life expectancy at birth, total (years)",81.12
Chile,CHL,"Life expectancy at birth, total (years)",78.501
China,CHN,"Life expectancy at birth, total (years)",75.599
Cote d'Ivoire,CIV,"Life expectancy at birth, total (years)",55.023
Cameroon,CMR,"Life expectancy at birth, total (years)",56.582
"Congo, Dem. Rep.",COD,"Life expectancy at birth, total (years)",56.417
"Congo, Rep.",COG,"Life expectancy at birth, total (years)",61.683
Colombia,COL,"Life expectancy at birth, total (years)",75.033
Comoros,COM,"Life expectancy at birth, total (years)",61.123
Cabo Verde,CPV,"Life expectancy at birth, total (years)",73.499
Costa Rica,CRI,"Life expectancy at birth, total (years)",78.67
